feature,importance,group
Exp_99,0.0011234301,expression
Exp_272,0.0011201093,expression
Exp_391,0.0011145211,expression
Exp_411,0.0011105035,expression
Exp_91,0.0011057393,expression
Exp_723,0.0011042885,expression
Exp_487,0.0010973904,expression
Exp_624,0.001095125,expression
Exp_457,0.0010915593,expression
Exp_533,0.0010915122,expression
Exp_47,0.0010869481,expression
Exp_377,0.001084994,expression
Exp_613,0.0010836151,expression
Exp_361,0.0010819967,expression
Exp_713,0.0010817379,expression
Exp_267,0.0010757153,expression
Exp_313,0.0010755687,expression
Exp_542,0.0010751843,expression
Exp_576,0.0010741901,expression
Exp_74,0.0010738717,expression
Exp_619,0.0010730126,expression
Exp_762,0.001070203,expression
Exp_677,0.0010690987,expression
Exp_37,0.0010665352,expression
Exp_135,0.0010656056,expression
Exp_596,0.0010652826,expression
Exp_286,0.0010639926,expression
Exp_265,0.0010601501,expression
Exp_568,0.0010578181,expression
Exp_419,0.0010537896,expression
Exp_401,0.0010533825,expression
Exp_217,0.001049401,expression
Exp_503,0.0010473536,expression
Exp_743,0.0010471082,expression
Exp_548,0.0010405071,expression
Exp_753,0.001039132,expression
Exp_572,0.0010340315,expression
Exp_702,0.0010339188,expression
Exp_281,0.0010337026,expression
Exp_553,0.0010328948,expression
Exp_404,0.0010281594,expression
Exp_112,0.0010280462,expression
Exp_88,0.0010256325,expression
Exp_751,0.0010244515,expression
Exp_708,0.0010238342,expression
Exp_353,0.0010180081,expression
Exp_249,0.0010170002,expression
Exp_684,0.0010168987,expression
Exp_251,0.0010167529,expression
Exp_64,0.001014267,expression
Exp_562,0.0010123107,expression
Exp_780,0.001010353,expression
Exp_710,0.0010095366,expression
Exp_72,0.0010072388,expression
Exp_199,0.0010060709,expression
Exp_683,0.0010036709,expression
Exp_641,0.0010030356,expression
Exp_558,0.0009997145,expression
Exp_103,0.0009939354,expression
Exp_205,0.0009909169,expression
Exp_575,0.0009901235,expression
Exp_124,0.0009879876,expression
Exp_687,0.000986975,expression
Exp_202,0.0009828468,expression
Exp_221,0.0009774623,expression
Exp_55,0.0009747688,expression
Exp_527,0.0009683903,expression
Exp_458,0.0009676224,expression
Exp_206,0.0009633012,expression
Exp_93,0.0009625679,expression
Exp_357,0.0009621992,expression
Exp_739,0.00096152554,expression
Exp_748,0.0009599668,expression
Exp_168,0.0009584282,expression
Exp_599,0.0009579982,expression
Exp_233,0.00095757237,expression
Exp_116,0.00095508207,expression
Exp_531,0.00095156184,expression
Exp_208,0.00094941113,expression
Exp_150,0.00094810367,expression
Exp_703,0.0009469046,expression
Exp_128,0.000946537,expression
Exp_430,0.0009462804,expression
Exp_664,0.00094584894,expression
Exp_570,0.00094131834,expression
Exp_450,0.00093834463,expression
Exp_560,0.0009379943,expression
Exp_149,0.000926327,expression
Exp_212,0.00092553266,expression
Exp_534,0.00092519016,expression
Exp_227,0.0009231225,expression
Exp_213,0.0009227411,expression
Exp_606,0.0009199793,expression
Exp_87,0.0009165617,expression
Exp_600,0.0009161995,expression
Exp_347,0.00091592467,expression
Exp_699,0.0009144351,expression
Exp_417,0.0009136923,expression
Exp_352,0.00090744486,expression
Exp_403,0.0009065168,expression
Exp_2,0.00090631825,expression
Exp_539,0.0008992778,expression
Exp_645,0.00089659786,expression
Exp_101,0.00089491345,expression
Exp_290,0.00089085626,expression
Exp_506,0.0008892115,expression
Exp_581,0.0008856732,expression
Exp_1,0.000884547,expression
Exp_185,0.00088146597,expression
Exp_537,0.00088031025,expression
Exp_307,0.000880231,expression
Exp_83,0.00088013656,expression
Exp_294,0.00087741285,expression
Exp_177,0.0008755949,expression
Exp_448,0.0008746403,expression
Exp_470,0.00087158807,expression
Exp_696,0.00086951297,expression
Exp_693,0.00086708093,expression
Exp_498,0.00086659036,expression
Exp_338,0.0008652232,expression
Exp_146,0.0008622576,expression
Exp_526,0.00086129707,expression
Exp_801,0.0008570451,expression
Exp_169,0.0008451473,expression
Exp_423,0.0008447623,expression
Exp_171,0.0008438597,expression
Exp_791,0.0008417283,expression
Exp_322,0.0008401384,expression
Exp_634,0.0008399445,expression
Exp_97,0.0008394441,expression
Exp_760,0.000830629,expression
Exp_528,0.00082834356,expression
Exp_264,0.0008276681,expression
Exp_355,0.0008266021,expression
Exp_680,0.0008242824,expression
Exp_194,0.00081769074,expression
Exp_492,0.0008144182,expression
Exp_771,0.0008132356,expression
Exp_532,0.00081121945,expression
Exp_737,0.000810113,expression
Exp_374,0.0008041431,expression
Exp_115,0.0008037576,expression
Exp_461,0.00080370146,expression
Exp_488,0.00080355303,expression
Exp_95,0.0007972417,expression
Exp_707,0.0007954915,expression
Exp_388,0.000794212,expression
Exp_180,0.0007902903,expression
Exp_734,0.00078955834,expression
Exp_614,0.0007866424,expression
Exp_501,0.0007842589,expression
Exp_25,0.0007830852,expression
Exp_145,0.0007758683,expression
Exp_623,0.0007696503,expression
Exp_162,0.00076527416,expression
Exp_571,0.0007598705,expression
Exp_466,0.00075849635,expression
Exp_372,0.0007563593,expression
Exp_490,0.0007537916,expression
Exp_75,0.00075048464,expression
Exp_509,0.0007469381,expression
Exp_299,0.00074580807,expression
Exp_561,0.0007446792,expression
Exp_765,0.0007420948,expression
Exp_672,0.00074111274,expression
Exp_243,0.00073906616,expression
Exp_524,0.0007341709,expression
Exp_726,0.0007330515,expression
Exp_284,0.0007324216,expression
Exp_143,0.0007313881,expression
Exp_564,0.0007308907,expression
Exp_405,0.0007299265,expression
Exp_383,0.000728514,expression
Exp_397,0.0007261997,expression
Exp_486,0.0007223831,expression
Exp_775,0.0007210591,expression
Exp_416,0.000718603,expression
Exp_546,0.0007165481,expression
Exp_230,0.00071508496,expression
Exp_107,0.0007143285,expression
Exp_794,0.0007131447,expression
Exp_429,0.0007120976,expression
Exp_26,0.00070613483,expression
Exp_517,0.00070082117,expression
Exp_773,0.0006973462,expression
Exp_153,0.0006961505,expression
Exp_226,0.0006951188,expression
Exp_9,0.00069351343,expression
Exp_63,0.00069160253,expression
Exp_10,0.0006892214,expression
Exp_657,0.0006890333,expression
Exp_105,0.00068768626,expression
Exp_627,0.000686375,expression
Exp_554,0.0006847332,expression
Exp_351,0.00068171107,expression
Exp_718,0.000681256,expression
Exp_688,0.0006791526,expression
Exp_648,0.0006715207,expression
Exp_512,0.0006712361,expression
Exp_62,0.00066789746,expression
Exp_319,0.00066468224,expression
Exp_725,0.00066274795,expression
Exp_496,0.00066147477,expression
Exp_311,0.0006589534,expression
Exp_592,0.0006511062,expression
Exp_792,0.0006508183,expression
Exp_443,0.00065050955,expression
Exp_587,0.0006462162,expression
Exp_51,0.000645914,expression
Exp_540,0.00064522534,expression
Exp_516,0.00064503215,expression
Exp_447,0.00064143364,expression
Exp_459,0.0006381918,expression
Exp_484,0.0006358047,expression
Exp_5,0.00063023175,expression
Exp_193,0.00062748266,expression
Exp_402,0.0006270511,expression
Exp_578,0.00062702614,expression
Exp_521,0.00062570575,expression
Exp_331,0.0006228939,expression
Exp_709,0.00062194106,expression
Exp_382,0.00061418675,expression
Exp_437,0.0006138055,expression
Exp_626,0.0006116272,expression
Exp_727,0.00061039726,expression
Exp_469,0.00060932525,expression
Exp_800,0.00060891546,expression
Exp_467,0.000607103,expression
Exp_529,0.0006060298,expression
Exp_183,0.00060402235,expression
Exp_549,0.0006031968,expression
Exp_428,0.00060259213,expression
Exp_142,0.0006023722,expression
Exp_408,0.00060080783,expression
Exp_616,0.0006000896,expression
Exp_460,0.0005989188,expression
Exp_211,0.00059704256,expression
Exp_590,0.0005963516,expression
Exp_109,0.0005934685,expression
Exp_642,0.00059262034,expression
Exp_219,0.00059188437,expression
Exp_633,0.00058779225,expression
Exp_337,0.00058598845,expression
Exp_730,0.0005851601,expression
Exp_691,0.00058303925,expression
Exp_559,0.000579576,expression
Exp_285,0.0005783711,expression
Exp_71,0.0005750984,expression
Exp_476,0.00057430525,expression
Exp_705,0.0005718001,expression
Exp_769,0.0005689383,expression
Exp_692,0.0005683798,expression
Exp_651,0.0005681236,expression
Exp_370,0.00056262186,expression
Exp_167,0.00056045357,expression
Exp_175,0.00056028046,expression
Exp_505,0.0005580415,expression
Exp_139,0.0005565521,expression
Exp_602,0.0005556023,expression
Exp_45,0.0005548059,expression
Exp_375,0.00055476744,expression
Exp_369,0.00055464735,expression
Exp_354,0.0005520637,expression
Exp_761,0.00054700987,expression
Exp_392,0.00054477237,expression
Exp_52,0.0005436596,expression
Exp_497,0.00054045307,expression
Exp_729,0.0005379789,expression
Exp_738,0.00053756154,expression
Exp_60,0.0005349897,expression
Exp_520,0.0005313905,expression
Exp_453,0.0005296269,expression
Exp_271,0.0005254493,expression
Exp_16,0.00052408397,expression
Exp_215,0.0005231074,expression
Exp_393,0.000520674,expression
Exp_580,0.0005161312,expression
Exp_615,0.00051607005,expression
Exp_256,0.00051577814,expression
Exp_434,0.0005129166,expression
Exp_544,0.00051132805,expression
Exp_40,0.0005107452,expression
Exp_518,0.0005075196,expression
Exp_288,0.00050507754,expression
Exp_270,0.00050213956,expression
Exp_420,0.0004982895,expression
Exp_711,0.0004977495,expression
Exp_28,0.0004968189,expression
Exp_295,0.0004930921,expression
Exp_39,0.00049136824,expression
Exp_763,0.0004898056,expression
Exp_676,0.0004871628,expression
Exp_395,0.00048557253,expression
Exp_656,0.00048517808,expression
Exp_468,0.00048411152,expression
Exp_341,0.00048213731,expression
